developer;developer_id
Valve;1
Gearbox Software;2
"Valve;Hidden Path Entertainment";3
Mark Healey;4
Tripwire Interactive;5
Ritual Entertainment;6
Introversion Software;7
Sonalysts;8
Malfador Machinations;9
Strategy First;10
Arkane Studios;11
Reality Pump Studios;12
id Software;13
RavenSoft / id Software;14
Xatrix Entertainment;15
Rogue Entertainment;16
Raven Software;17
Outerlight Ltd.;18
Frozenbyte;19
CINEMAX, s.r.o.;20
Black Element;21
Troika Games;22
Neversoft;23
Infinity Ward;24
"Infinity Ward;Aspyr (Mac)";25
Gray Matter Studios;26
Eugen Systems;27
Iocaine Studios;28
Bohemia Interactive;29
Egosoft;30
Bugbear Entertainment;31
Techland;32
1C Entertainment;33
Katauri Interactive;34
Metamorf;35
Kheops Studio;36
Mindware Studios;37
PopCap Games, Inc.;38
Retro64, Inc.;39
SpinTop Games;40
Rebellion;41
Elixir Studios;42
GlyphX Games;43
Terminal Reality;44
Double Fine Productions;45
Firaxis Games;46
PopTop;47
"FireFly Studios;Firaxis Games";48
Facepunch Studios;49
Funkitron;50
SimBin;51
Naked Sky Entertainment;52
Monte Cristo;53
GSC Game World;54
Pandemic Studios;55
Relic Entertainment;56
"CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux)";57
Monolith;58
CREATIVE ASSEMBLY;59
The Creative Assembly;60
"The Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux)";61
Unknown Worlds Entertainment;62
LucasArts;63
"Raven Software;Aspyr (Mac)";64
Frontier;65
Planet Moon Studios;66
Klei Entertainment;67
Sick Puppies;68
Deepred;69
Muzzy Lane;70
Artematica Entertainment;71
Funcom;72
Stunlock Studios;73
Most Wanted Entertainment;74
"Mithis Games;THQ Nordic";75
CAPCOM Co., Ltd.;76
Pyro Studios;77
Io-Interactive A/S;78
Eidos Interactive;79
Avalanche Studios;80
IO Interactive A/S;81
Ion Storm;82
Crystal Dynamics;83
BioWare Corporation;84
Nadeo;85
Pendulo Studios;86
Cyanide Studios;87
Big Fish Games;88
Gaijin Entertainment;89
"Firaxis Games;Feral Interactive (Mac)";90
MicroProse Software, Inc;91
Best Way;92
Sky Fallen;93
The Farm 51;94
"Crystal Dynamics;Feral Interactive (Mac)";95
IO Interactive;96
Pivotal Games;97
Eidos Studio Hungary;98
Telltale Games;99
Bizarre Creations;100
CCP;101
SimBin Studios AB;102
"Irrational Games;Aspyr (Mac);Virtual Programming (Linux)";103
Irrational Games;104
"Firaxis Games;Aspyr (Mac);Aspyr (Linux)";105
Silver Wish Games;106
Gas Powered Games;107
Kaos Studios;108
Volition;109
Cryptic Sea;110
Spellbound;111
Haggard Games;112
"InnoGlow;Stormregion;THQ Nordic";113
Cryptic Studios;114
Krome Studios;115
ImagineEngline;116
Incinerator Studios;117
Artech Studios;118
Treyarch;119
Sierra;120
Saber Interactive;121
Wanako Games;122
Radical Entertainment;123
Trashmasters;124
Electronic Paradise;125
SPLine;126
Studio4;127
Akella;128
Frogwares;129
Meridian4;130
"Buka Entertainment;Lesta Studio";131
Lesta Studio;132
Frogames;133
IonFX;134
2DEngine.com;135
"Triumph Studios;Virtual Programming";136
KDV Games;137
Deep Red Limited;138
Rockstar Games;139
Rockstar North;140
Remedy Entertainment;141
Rockstar New England;142
"Rockstar North;Rockstar Toronto";143
Rockstar North / Toronto;144
Momentum Digital Media Technologies;145
Ascaron Entertainment ltd.;146
Deck13;147
Parallax Arts Studio;148
Technetium Games;149
Deck 13;150
Mascot Entertainment;151
"Noviy Disk;Lesta Studios Inc";152
Infinite Interactive;153
"Gamebryo;Virtual Playground";154
SCS Software;155
Zemnott;156
Gabriel Entertainment;157
BigAnt Studios;158
"Merscom;Babylon";159
Radon Labs;160
Virtual Playground;161
Liquid Entertainment;162
Blue Omega Entertainment;163
Codemasters Studios;164
Sanzaru Games;165
U.S. Army;166
Epic Games, Inc.;167
Ubisoft;168
Crytek Studios;169
Ubisoft Montreal;170
Kudosoft;171
Red Storm Entertainment;172
"Ubisoft Bulgaria;Ubisoft Montpellier";173
Nival;174
Ubisoft Romania;175
Darkworks;176
1C: Maddox Games;177
Oxeye Game Studio;178
Dejobaan Games, LLC;179
"Dejobaan Games, LLC;Owlchemy Labs";180
"Relic Entertainment;Feral Interactive (Mac/Linux)";181
Oddworld Inhabitants;182
Slam;183
MumboJumbo;184
Last Day of Work;185
blurredVision;186
Redlynx;187
Redlynx Ltd;188
Crackpot Entertainment;189
Replay Studios;190
Spark Unlimited;191
BlackFoot Studios;192
Hi-Rez Studios;193
Tilted Mill Entertainment, Inc.;194
Crytek;195
Maxis™;196
DICE;197
EA Black Box;198
BioWare;199
EA Redwood Shores;200
EA Los Angeles;201
Zombie Panic Team;202
Octoshark Studios;203
